spec_name,pattern,score_mod,mask_mod,rownorm,batch,heads,sq,sk,dim,value_dim,dtype,device,threads,tile_q,tile_k,median_latency_ms,calls_per_second,tokens_per_second,score_tile_elements,score_tile_bytes,score_tile_kib,q_tiles,kv_tile_interactions,is_best
causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,4,512,512,64,64,float32,cpu,1,16,32,12.487700485507958,80.07879442340128,41000.342744781454,2048,8192,8.0,32,272,False
causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,4,512,512,64,64,float32,cpu,1,16,64,7.877584503148682,126.94246562512893,64994.54240006601,4096,16384,16.0,32,144,False
causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,4,512,512,64,64,float32,cpu,1,16,128,5.738670006394386,174.25640416433376,89219.27893213888,8192,32768,32.0,32,80,False
causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,4,512,512,64,64,float32,cpu,1,16,256,4.397648488520645,227.39425459091137,116425.85835054662,16384,65536,64.0,32,48,False
causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,4,512,512,64,64,float32,cpu,1,16,512,4.000865999842063,249.9458867253929,127972.29400340117,32768,131072,128.0,32,32,False
causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,4,512,512,64,64,float32,cpu,1,32,16,12.179348996141925,82.10619470028914,42038.37168654804,2048,8192,8.0,16,272,False
causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,4,512,512,64,64,float32,cpu,1,32,32,7.838551508029923,127.57459065945869,65318.19041764285,4096,16384,16.0,16,136,False
causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,4,512,512,64,64,float32,cpu,1,32,64,5.238927493337542,190.8787631193067,97729.92671708504,8192,32768,32.0,16,72,False
causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,4,512,512,64,64,float32,cpu,1,32,128,4.060310500790365,246.28658320720638,126098.73060208966,16384,65536,64.0,16,40,False
causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,4,512,512,64,64,float32,cpu,1,32,256,3.5879460046999156,278.71099472792565,142700.02930069793,32768,131072,128.0,16,24,False
causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,4,512,512,64,64,float32,cpu,1,32,512,3.3790879970183596,295.9378391099552,151520.17362429705,65536,262144,256.0,16,16,False
causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,4,512,512,64,64,float32,cpu,1,64,16,8.38132799253799,119.31283454010075,61088.171284531585,4096,16384,16.0,8,144,False
causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,4,512,512,64,64,float32,cpu,1,64,32,5.674555490259081,176.22525706490947,90227.33161723365,8192,32768,32.0,8,72,False
causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,4,512,512,64,64,float32,cpu,1,64,64,4.23743600549642,235.9917645252672,120827.7834369368,16384,65536,64.0,8,36,False
causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,4,512,512,64,64,float32,cpu,1,64,128,3.3481319987913594,298.67400698687794,152921.0915772815,32768,131072,128.0,8,20,False
causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,4,512,512,64,64,float32,cpu,1,64,256,3.0339784862007946,329.60022773669004,168755.3166011853,65536,262144,256.0,8,12,True
causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,4,512,512,64,64,float32,cpu,1,64,512,3.0718830093974248,325.53323057578234,166673.01405480056,131072,524288,512.0,8,8,False
causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,4,512,512,64,64,float32,cpu,1,128,16,7.732938509434462,129.3169470803323,66210.27690513014,8192,32768,32.0,4,80,False
causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,4,512,512,64,64,float32,cpu,1,128,32,5.506277491804212,181.6108980138477,92984.77978309002,16384,65536,64.0,4,40,False
causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,4,512,512,64,64,float32,cpu,1,128,64,4.205020988592878,237.81094142282248,121759.20200848511,32768,131072,128.0,4,20,False
causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,4,512,512,64,64,float32,cpu,1,128,128,3.757134996703826,266.1602526598886,136274.04936186297,65536,262144,256.0,4,10,False
causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,4,512,512,64,64,float32,cpu,1,128,256,3.488061993266456,286.6921522411168,146786.3819474518,131072,524288,512.0,4,6,False
causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,4,512,512,64,64,float32,cpu,1,128,512,3.8397570024244487,260.43314703732375,133341.77128310976,262144,1048576,1024.0,4,4,False
causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,4,512,512,64,64,float32,cpu,1,256,16,7.490084506571293,133.50984212830545,68357.03916969239,16384,65536,64.0,2,48,False
causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,4,512,512,64,64,float32,cpu,1,256,32,5.871677509276196,170.30908090919155,87198.24942550607,32768,131072,128.0,2,24,False
causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,4,512,512,64,64,float32,cpu,1,256,64,5.2492399991024286,190.50376819710868,97537.92931691965,65536,262144,256.0,2,12,False
causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,4,512,512,64,64,float32,cpu,1,256,128,4.034625497297384,247.85447885308204,126901.493172778,131072,524288,512.0,2,6,False
causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,4,512,512,64,64,float32,cpu,1,256,256,3.945295000448823,253.4664707927388,129774.83304588226,262144,1048576,1024.0,2,3,False
causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,4,512,512,64,64,float32,cpu,1,256,512,5.883129007997923,169.97757462746992,87028.5182092646,524288,2097152,2048.0,2,2,False
causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,4,512,512,64,64,float32,cpu,1,512,16,9.581812992109917,104.36438290159113,53434.56404561466,32768,131072,128.0,1,32,False
causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,4,512,512,64,64,float32,cpu,1,512,32,7.718082502833568,129.56586038473498,66337.72051698431,65536,262144,256.0,1,16,False
causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,4,512,512,64,64,float32,cpu,1,512,64,7.028072475804947,142.2865235728046,72850.70006927596,131072,524288,512.0,1,8,False
causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,4,512,512,64,64,float32,cpu,1,512,128,6.225258010090329,160.6359123395578,82245.58711785359,262144,1048576,1024.0,1,4,False
causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,4,512,512,64,64,float32,cpu,1,512,256,9.499638006673194,105.2671690539715,53896.79055563341,524288,2097152,2048.0,1,2,False
causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,4,512,512,64,64,float32,cpu,1,512,512,10.383750995970331,96.3043124192861,49307.807958674486,1048576,4194304,4096.0,1,1,False
causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,4,1024,1024,64,64,float32,cpu,1,16,16,80.4837489995407,12.424868528498925,12723.065373182899,1024,4096,4.0,64,2080,False
causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,4,1024,1024,64,64,float32,cpu,1,16,32,45.82984700391535,21.81984155248364,22343.51774974325,2048,8192,8.0,64,1056,False
causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,4,1024,1024,64,64,float32,cpu,1,16,64,28.663076504017226,34.888090252972205,35725.40441904354,4096,16384,16.0,64,544,False
causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,4,1024,1024,64,64,float32,cpu,1,16,128,20.962930997484364,47.70325295255726,48848.13102341863,8192,32768,32.0,64,288,False
causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,4,1024,1024,64,64,float32,cpu,1,16,256,16.281497999443673,61.41940993600032,62893.47577446433,16384,65536,64.0,64,160,False
causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,4,1024,1024,64,64,float32,cpu,1,16,512,14.24173399573192,70.21616892294774,71901.35697709849,32768,131072,128.0,64,96,False
causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,4,1024,1024,64,64,float32,cpu,1,16,1024,13.029571491642855,76.7484948097793,78590.458685214,65536,262144,256.0,64,64,False
causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,4,1024,1024,64,64,float32,cpu,1,32,16,47.22087300615385,21.17707565189825,21685.325467543807,2048,8192,8.0,32,1056,False
causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,4,1024,1024,64,64,float32,cpu,1,32,32,28.76846250728704,34.760286537617375,35594.53341452019,4096,16384,16.0,32,528,False
causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,4,1024,1024,64,64,float32,cpu,1,32,64,20.07614499598276,49.81035951872734,51005.808147176795,8192,32768,32.0,32,272,False
causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,4,1024,1024,64,64,float32,cpu,1,32,128,15.32563249929808,65.25016178260834,66816.16566539094,16384,65536,64.0,32,144,False
causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,4,1024,1024,64,64,float32,cpu,1,32,256,12.87821150617674,77.65053396742032,79514.1467826384,32768,131072,128.0,32,80,False
causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,4,1024,1024,64,64,float32,cpu,1,32,512,11.315438998281024,88.37483019014235,90495.82611470576,65536,262144,256.0,32,48,False
causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,4,1024,1024,64,64,float32,cpu,1,32,1024,10.88194499607198,91.89533675836138,94100.82484056205,131072,524288,512.0,32,32,False
causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,4,1024,1024,64,64,float32,cpu,1,64,16,31.105180009035394,32.14898610808622,32920.56177468029,4096,16384,16.0,16,544,False
causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,4,1024,1024,64,64,float32,cpu,1,64,32,21.576055500190705,46.34767462436131,47460.01881534598,8192,32768,32.0,16,272,False
causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,4,1024,1024,64,64,float32,cpu,1,64,64,15.918410499580204,62.820342522664035,64328.03074320797,16384,65536,64.0,16,136,False
causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,4,1024,1024,64,64,float32,cpu,1,64,128,12.643953989027068,79.0891837211556,80987.32413046334,32768,131072,128.0,16,72,False
causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,4,1024,1024,64,64,float32,cpu,1,64,256,11.149670506711118,89.68874904402675,91841.27902108339,65536,262144,256.0,16,40,False
causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,4,1024,1024,64,64,float32,cpu,1,64,512,10.827422011061572,92.35808847003233,94574.6825933131,131072,524288,512.0,16,24,False
causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,4,1024,1024,64,64,float32,cpu,1,64,1024,10.41351250023581,96.02907760252415,98333.77546498473,262144,1048576,1024.0,16,16,True
causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,4,1024,1024,64,64,float32,cpu,1,128,16,25.698751996969804,38.91239543919923,39846.29292974001,8192,32768,32.0,8,288,False
causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,4,1024,1024,64,64,float32,cpu,1,128,32,18.089513498125598,55.280646442128926,56607.38195674002,16384,65536,64.0,8,144,False
causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,4,1024,1024,64,64,float32,cpu,1,128,64,14.577896508853883,68.59700227619604,70243.33033082474,32768,131072,128.0,8,72,False
